t,V,Ap,Apm,Thn,The,Tkn,Tke,B,Ps,Pl,Bm,A
990.87,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.88,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.89,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.9,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.91,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.92,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.93,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.94,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.95,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.96,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.97,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.98,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
990.99,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.01,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.02,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.03,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.04,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.05,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.06,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.07,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.08,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.09,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.1,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.11,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.12,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
991.13,724,1e+06,0,1e+06,0,500000,0,250000,0,0,0,150
